fertility,,,,,,,
LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,FERTILITY,TOT,CHD_WOMAN,A,2021,1.7,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2021,1.48,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2021,1.6,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2021,1.43,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2021,1.83,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2021,1.72,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2021,1.46,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2021,1.8,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2021,1.58,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2021,1.43,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2021,1.59,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2021,1.82,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2021,1.72,
ITA,FERTILITY,TOT,CHD_WOMAN,A,2021,1.25,
JPN,FERTILITY,TOT,CHD_WOMAN,A,2021,1.3,
KOR,FERTILITY,TOT,CHD_WOMAN,A,2021,0.81,
LUX,FERTILITY,TOT,CHD_WOMAN,A,2021,1.38,
MEX,FERTILITY,TOT,CHD_WOMAN,A,2021,1.82,
NLD,FERTILITY,TOT,CHD_WOMAN,A,2021,1.62,
NZL,FERTILITY,TOT,CHD_WOMAN,A,2021,1.64,
NOR,FERTILITY,TOT,CHD_WOMAN,A,2021,1.55,
POL,FERTILITY,TOT,CHD_WOMAN,A,2021,1.33,
PRT,FERTILITY,TOT,CHD_WOMAN,A,2021,1.35,
SVK,FERTILITY,TOT,CHD_WOMAN,A,2021,1.63,
ESP,FERTILITY,TOT,CHD_WOMAN,A,2021,1.19,
SWE,FERTILITY,TOT,CHD_WOMAN,A,2021,1.67,
CHE,FERTILITY,TOT,CHD_WOMAN,A,2021,1.51,
TUR,FERTILITY,TOT,CHD_WOMAN,A,2021,1.7,
GBR,FERTILITY,TOT,CHD_WOMAN,A,2021,1.53,
USA,FERTILITY,TOT,CHD_WOMAN,A,2021,1.66,
CHL,FERTILITY,TOT,CHD_WOMAN,A,2021,1.54,
EST,FERTILITY,TOT,CHD_WOMAN,A,2021,1.61,
ISR,FERTILITY,TOT,CHD_WOMAN,A,2021,3,
SVN,FERTILITY,TOT,CHD_WOMAN,A,2021,1.64,
COL,FERTILITY,TOT,CHD_WOMAN,A,2021,1.72,
LVA,FERTILITY,TOT,CHD_WOMAN,A,2021,1.57,
LTU,FERTILITY,TOT,CHD_WOMAN,A,2021,1.36,
CRI,FERTILITY,TOT,CHD_WOMAN,A,2021,1.53,
