gdp,,,,,,,
LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDP,TOT,USD_CAP,A,2022,69418.944207,
AUT,GDP,TOT,USD_CAP,A,2022,67792.406005,
BEL,GDP,TOT,USD_CAP,A,2022,65509.386133,P
CAN,GDP,TOT,USD_CAP,A,2022,58347.676945,
CZE,GDP,TOT,USD_CAP,A,2022,49122.317085,
DNK,GDP,TOT,USD_CAP,A,2022,74859.416551,
FIN,GDP,TOT,USD_CAP,A,2022,59461.616223,
FRA,GDP,TOT,USD_CAP,A,2022,54988.881441,P
DEU,GDP,TOT,USD_CAP,A,2022,63521.899276,P
GRC,GDP,TOT,USD_CAP,A,2022,36574.04193,P
HUN,GDP,TOT,USD_CAP,A,2022,41565.507721,P
ISL,GDP,TOT,USD_CAP,A,2022,69616.051554,
IRL,GDP,TOT,USD_CAP,A,2022,127146.265184,
ITA,GDP,TOT,USD_CAP,A,2022,52802.956093,
JPN,GDP,TOT,USD_CAP,A,2022,45648.781715,E
KOR,GDP,TOT,USD_CAP,A,2022,50330.65223,P
LUX,GDP,TOT,USD_CAP,A,2022,140150.398233,
MEX,GDP,TOT,USD_CAP,A,2022,21442.194064,E
NLD,GDP,TOT,USD_CAP,A,2022,70861.366489,P
NZL,GDP,TOT,USD_CAP,A,2022,51635.654488,E
NOR,GDP,TOT,USD_CAP,A,2022,114932.192428,
POL,GDP,TOT,USD_CAP,A,2022,42961.752668,B
PRT,GDP,TOT,USD_CAP,A,2022,42313.130693,P
SVK,GDP,TOT,USD_CAP,A,2022,37067.28435,
ESP,GDP,TOT,USD_CAP,A,2022,46490.547319,P
SWE,GDP,TOT,USD_CAP,A,2022,65156.950747,
CHE,GDP,TOT,USD_CAP,A,2022,84593.018629,P
TUR,GDP,TOT,USD_CAP,A,2022,37299.591132,E
GBR,GDP,TOT,USD_CAP,A,2022,54265.752346,
USA,GDP,TOT,USD_CAP,A,2022,76291.024903,E
CHL,GDP,TOT,USD_CAP,A,2022,29866.277169,
COL,GDP,TOT,USD_CAP,A,2022,20822.147787,E
EST,GDP,TOT,USD_CAP,A,2022,47152.179753,
ISR,GDP,TOT,USD_CAP,A,2022,49788.625702,E
SVN,GDP,TOT,USD_CAP,A,2022,48361.944853,
LVA,GDP,TOT,USD_CAP,A,2022,39680.779825,
LTU,GDP,TOT,USD_CAP,A,2022,48860.743439,
CRI,GDP,TOT,USD_CAP,A,2022,24776.739003,E
