labour,,,,,,,
LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,LFPR,25_64,PC_AGE,A,2022,82.315956672329,
AUT,LFPR,25_64,PC_AGE,A,2022,81.4394493922579,
BEL,LFPR,25_64,PC_AGE,A,2022,79.1173354353342,
CAN,LFPR,25_64,PC_AGE,A,2022,83.0450731168588,
CZE,LFPR,25_64,PC_AGE,A,2022,85.9525903012454,
DNK,LFPR,25_64,PC_AGE,A,2022,84.4645043866751,
FIN,LFPR,25_64,PC_AGE,A,2022,85.2444012058449,
FRA,LFPR,25_64,PC_AGE,A,2022,81.016426143881,
DEU,LFPR,25_64,PC_AGE,A,2022,84.230429612122,
GRC,LFPR,25_64,PC_AGE,A,2022,78.0459623481872,
HUN,LFPR,25_64,PC_AGE,A,2022,85.9536868962726,
ISL,LFPR,25_64,PC_AGE,A,2022,88.4940949870749,
IRL,LFPR,25_64,PC_AGE,A,2022,82.2408746813242,
ITA,LFPR,25_64,PC_AGE,A,2022,72.7976193079463,
JPN,LFPR,25_64,PC_AGE,A,2022,86.6164449430998,
KOR,LFPR,25_64,PC_AGE,A,2022,76.8268024877786,
LUX,LFPR,25_64,PC_AGE,A,2022,81.1591255747424,
MEX,LFPR,25_64,PC_AGE,A,2022,71.6767292876239,
NLD,LFPR,25_64,PC_AGE,A,2022,85.4279092141514,
NZL,LFPR,25_64,PC_AGE,A,2022,86.1284032100803,
NOR,LFPR,25_64,PC_AGE,A,2022,84.0242354297116,
POL,LFPR,25_64,PC_AGE,A,2022,80.8415545043508,
PRT,LFPR,25_64,PC_AGE,A,2022,85.4347627320106,
SVK,LFPR,25_64,PC_AGE,A,2022,84.6683876287041,
ESP,LFPR,25_64,PC_AGE,A,2022,81.8586747025628,
SWE,LFPR,25_64,PC_AGE,A,2022,89.2834268922126,
CHE,LFPR,25_64,PC_AGE,A,2022,86.4471361938986,
TUR,LFPR,25_64,PC_AGE,A,2022,63.3225020308692,
GBR,LFPR,25_64,PC_AGE,A,2022,81.9423770359229,
USA,LFPR,25_64,PC_AGE,A,2022,78.1403013460755,
CHL,LFPR,25_64,PC_AGE,A,2022,76.505507087083,
COL,LFPR,25_64,PC_AGE,A,2022,77.3282086694084,
CRI,LFPR,25_64,PC_AGE,A,2022,76.2840718059558,
EST,LFPR,25_64,PC_AGE,A,2022,87.5898381183985,
ISR,LFPR,25_64,PC_AGE,A,2022,81.2303214274781,
LVA,LFPR,25_64,PC_AGE,A,2022,84.0139110726466,
LTU,LFPR,25_64,PC_AGE,A,2022,85.9257303564628,
SVN,LFPR,25_64,PC_AGE,A,2022,83.5254813834284,
